# Spectrum: earth_spectrum
# Wavelength unit: nm
# Flux unit: normalized
# source_file: earth_spectrum.csv
# file_format: csv
#
Wavelength (nm),Flux (normalized)
300.0,0.6260498008753023
304.41,0.6586696620830198
308.82,0.6912895232907375
313.23,0.7167311046455708
317.64,0.7395421889773579
322.04,0.7583342962657635
326.45,0.7724771314050539
330.86,0.7856391684562174
335.27,0.7947635225894663
339.68,0.8038880093884917
344.09,0.8081475094852714
348.5,0.8120253301421023
352.91,0.8165046574310943
357.31,0.8212949533009832
361.72,0.8261744005729039
366.13,0.8311928815789457
370.54,0.8362112299192106
374.95,0.8412297109252523
379.36,0.846248191931294
383.77,0.8530209125043995
388.18,0.8600923964069331
392.59,0.8806732363643793
396.99,0.910783857069076
401.4,0.9355233711329087
405.81,0.9487538637249181
410.22,0.961676306383121
414.63,0.9687477902856546
419.04,0.9758191415224113
423.45,0.9807504611130738
427.86,0.9850846520422105
432.26,0.9884814265922447
436.67,0.9909906670952656
441.08,0.9933318200590389
445.49,0.9951567704851547
449.9,0.9969815882454938
454.31,0.998137770490594
458.72,0.999278298174028
463.13,0.9997718148638471
467.54,1.0
471.94,0.9997252491761787
476.35,0.9988127739631207
480.76,0.9977820935429046
485.17,0.9961853282529417
489.58,0.9945885629629787
493.99,0.9927855023900403
498.4,0.9909605519639244
502.81,0.760761947316032
507.21,0.7591826939086112
511.62,0.7577326569678255
516.03,0.7565044372059049
520.44,0.7553112412090681
524.85,0.7544337897610942
529.26,0.7535564709788971
533.67,0.7529710169057325
538.08,0.7524445991032589
542.48,0.7520171499703028
546.89,0.7516662489905793
551.3,0.7513670876638207
555.71,0.7511917035068474
560.12,0.7510209626520632
564.53,0.7510209626520632
568.94,0.7510209626520632
573.35,0.7510209626520632
577.76,0.7510209626520632
582.16,0.7511070627412278
586.57,0.7512825795639779
590.98,0.7514580963867282
595.39,0.7516334805437014
599.8,0.7518089973664517
604.21,0.7516494004369214
608.62,0.7514740162799481
613.03,0.750816790021517
617.43,0.7499394712393199
621.84,0.7489152914421686
626.25,0.7476870716802478
630.66,0.7463535152915218
635.07,0.7444233609043773
639.48,0.742493073851456
643.89,0.7400987219111725
648.3,0.7376421497215545
652.71,0.7350779855869246
657.11,0.7324458965745564
661.52,0.7296320554479268
665.93,0.7264735486330848
670.34,0.7233015099090058
674.75,0.7199676189371905
679.16,0.7166337279653753
683.57,0.7130157995653604
687.98,0.7093310076138216
692.38,0.7055512269660703
696.79,0.7016907855260045
701.2,0.6977825844062788
705.61,0.6937468914750166
710.02,0.6897102698833164
714.43,0.6854989274635273
718.84,0.6812877177095147
723.25,0.6769471588230901
727.66,0.6725604322463274
732.06,0.6681737056695649
736.47,0.6637869790928023
740.88,0.6593299396543181
745.29,0.6545466750706014
749.7,0.6461247862256839
754.11,0.5807489487232179
758.52,0.40579794551124676
762.93,0.4551074267761195
767.33,0.6015634131136671
771.74,0.6250899639799149
776.15,0.6211764562291159
780.56,0.6162704758018287
784.97,0.6113574640883692
789.38,0.6064441870433561
793.79,0.6013803343416375
798.2,0.596291673139651
802.61,0.5912031446034415
807.01,0.586114483401455
811.42,0.5810258221994686
815.83,0.575937293663259
820.24,0.5708534084292386
824.65,0.5658524393057387
829.06,0.5608516028480158
833.47,0.555850766390293
837.88,0.5508497972667931
842.28,0.5458489608090702
846.69,0.5408481243513473
851.1,0.5358471552278474
855.51,0.5308463187701246
859.92,0.5258453496466248
864.33,0.5209306132780666
868.74,0.5160174688988303
873.15,0.511104324519594
877.56,0.5061911801403577
881.96,0.5013171721652873
886.37,0.4964917198645376
890.78,0.49166626756378806
895.19,0.48684081526303846
899.6,0.48201549562806567
904.01,0.47726977545919275
908.42,0.47253214790270665
912.83,0.46779438768044374
917.23,0.46305676012395763
921.64,0.45835176834857244
926.05,0.453701832870573
930.46,0.44905189739257356
934.87,0.44440196191457415
939.28,0.4397518937707978
943.69,0.43524881930775267
948.1,0.4307742679867265
952.51,0.42629984933147724
956.91,0.42182529801045116
961.32,0.4173771471790148
965.73,0.4129904206022522
970.14,0.4086036940254896
974.55,0.40421696744872704
978.96,0.39983024087196445
983.37,0.3955773740640264
987.78,0.39136616431001386
992.18,0.38715482189022465
996.59,0.3829436121362122
1001.0,0.3788360143539064
1005.41,0.37508090954064605
1009.82,0.37132593739316255
1014.23,0.3675708325799023
1018.64,0.36381572776664195
1023.05,0.36006062295338165
1027.45,0.3563055181401213
1031.86,0.35255041332686105
1036.27,0.3487951758478239
1040.68,0.3450400710345635
1045.09,0.3412848335555264
1049.5,0.33752946341071244
1053.91,0.3341474147619067
1058.32,0.3308129931269841
1062.73,0.3274785714920615
1067.13,0.3241438845255852
1071.54,0.32080893222755524
1075.95,0.31747384726374844
1080.36,0.31413823163683435
1084.77,0.3108022180125897
1089.18,0.30746554105946095
1093.59,0.30412806811167115
1098.0,0.3007896665034435
1102.4,0.29764150761919456
1106.81,0.29465122100937696
1111.22,0.2916590770786837
1115.63,0.2886646778297842
1120.04,0.2856673599337945
1124.45,0.2826664600618302
1128.86,0.2796613148850073
1133.27,0.2766509957428879
1137.68,0.2736343086434805
1142.08,0.2706101922605704
1146.49,0.2675770546048358
1150.9,0.2645976465887185
1155.31,0.26185650630779334
1159.72,0.2591001094625325
1164.13,0.25632606806895275
1168.54,0.2535311981484103
1172.95,0.2507121830564842
1177.35,0.24786544081719994
1181.76,0.24498659345992216
1186.17,0.24207113034823835
1190.58,0.23911401018262904
1194.99,0.2361099263320208
1199.4,0.23305290883645613
1203.81,0.23020590126561824
1208.22,0.22733435052606624
1212.63,0.2243883742857109
1217.03,0.22136041059527267
1221.44,0.21824289750547216
1225.85,0.21502787506969925
1230.26,0.21170778133867463
1234.67,0.20827478903156504
1239.08,0.20472186686219834
1243.49,0.20104224887595604
1247.9,0.19722983244710385
1252.3,0.1933992408068255
1256.71,0.18953243140947174
1261.12,0.1855158423500734
1265.53,0.18134748364197806
1269.94,0.177027089953632
1274.35,0.17255651860591087
1278.76,0.167939484240566
1283.17,0.1631820894833318
1287.58,0.15829269227814866
1291.98,0.15328243655027057
1296.39,0.14816472154315768
1300.8,0.1429903582493371
1305.21,0.1378933391034102
1309.62,0.1327343650397022
1314.03,0.12753624130525082
1318.44,0.1223238162000568
1322.85,0.1171239412773512
1327.25,0.11196499374679861
1331.66,0.10687657134321048
1336.07,0.10188901472974854
1340.48,0.09703302276717196
1344.89,0.09233913511730774
1349.3,0.08783720157994328
1353.71,0.0836472316168018
1358.12,0.07971473939333797
1362.53,0.07604733992514201
1366.93,0.07266813032396054
1371.34,0.06959724925471683
1375.75,0.06685154527106868
1380.16,0.06444417881807794
1384.57,0.062384370167234506
1388.98,0.060677293283834845
1393.39,0.05932386356173913
1397.8,0.05832076435652654
1402.2,0.057695629949511384
1406.61,0.05743758174699336
1411.02,0.057497360946034345
1415.43,0.05785733626489323
1419.84,0.05849663937687415
1424.25,0.05939157617423474
1428.66,0.060516130898138024
1433.07,0.0618423243362499
1437.47,0.06334083735189028
1441.88,0.06498143541451887
1446.29,0.0667335125294203
1450.7,0.06858150700097204
1455.11,0.07056394497076643
1459.52,0.07257619294061521
1463.93,0.07459100135995687
1468.34,0.07658272593412958
1472.75,0.07852761948908021
1477.15,0.08040409730291803
1481.56,0.08219286977169148
1485.97,0.08387711487489816
1490.38,0.08544255777495083
1494.79,0.08687740448428899
1499.2,0.08817240819826741
1503.61,0.08946907023445624
1508.02,0.09065504921303325
1512.42,0.09169510910367154
1516.83,0.09258817531357878
1521.24,0.09333489790506146
1525.65,0.09393750566317036
1530.06,0.09439959383045764
1534.47,0.09472593837488934
1538.88,0.09492224392486924
1543.29,0.09499498457030682
1547.7,0.09495121813052959
1552.1,0.09479838715561788
1556.51,0.09454414646089497
1560.92,0.09419628352746096
1565.33,0.09376250623694984
1569.74,0.09325040307179647
1574.15,0.09266729718288204
1578.56,0.092020206589801
1582.97,0.09131579111455039
1587.37,0.0905602727820637
1591.78,0.0897594490867885
1596.19,0.08891865319295349
1600.6,0.08807349259506067
1605.01,0.08739291715990698
1609.42,0.08668619330013946
1613.83,0.085956637660179
1618.24,0.08520718215369358
1622.65,0.08444033416386532
1627.05,0.083658282676012
1631.46,0.08286283194469854
1635.87,0.08205546782662547
1640.28,0.0812373710472066
1644.69,0.08040940393399135
1649.1,0.07957217674955315
1653.51,0.07872604769148946
1657.92,0.07787106982611099
1662.32,0.0770071237542186
1666.73,0.07613378494532644
1671.14,0.07525048293659412
1675.55,0.07435635540047221
1679.96,0.0734503940770568
1684.37,0.07253133864146795
1688.78,0.07159776956989357
1693.19,0.07064804180670092
1697.6,0.06968039089705813
1702.0,0.0687714976599747
1706.41,0.06793433680842491
1710.82,0.06707186332665538
1715.23,0.06618154329832858
1719.64,0.06526072340790787
1724.05,0.06430665747381277
1728.46,0.06331659931446287
1732.87,0.062287855814588435
1737.27,0.061217773658652816
1741.68,0.06010383219689618
1746.09,0.058943749577957
1750.5,0.05773546948229436
1754.91,0.05647733358769785
1759.32,0.05516806830270988
1763.73,0.05380689089924711
1768.14,0.052393602378644315
1772.55,0.0509286670711204
1776.95,0.049413239168933816
1781.36,0.04784922905927096
1785.77,0.046239382923712276
1790.18,0.04458730927138761
1794.59,0.04289747893897627
1799.0,0.041175238357284594
1803.41,0.03950544055717504
1807.82,0.037833719103301404
1812.22,0.03614372957195785
1816.63,0.03444377684077414
1821.04,0.03274288218257491
1825.45,0.031050650599602877
1829.86,0.029377204490630412
1834.27,0.027733011185449644
1838.68,0.02612876354567331
1843.09,0.024575154432914168
1847.49,0.02308278384274117
1851.9,0.021661920106281207
1856.31,0.020322327424709186
1860.72,0.01907313320347123
1865.13,0.01792260252046403
1869.54,0.01687803199341341
1873.95,0.015945564047786742
1878.36,0.01513009405074917
1882.77,0.014435177445119815
1887.17,0.013862910350172645
1891.58,0.013413969361369503
1895.99,0.013087513377685272
1900.4,0.012884589132099162
1904.81,0.012831842545888096
1909.22,0.01289156867861835
1913.63,0.013058414466194703
1918.04,0.013325852752396972
1922.44,0.013686318934630133
1926.85,0.01413131974986133
1931.26,0.014651621660022986
1935.67,0.015237447197362499
